Country,Region,Year,Gender,Population Density,Health Expenditure Govt,Health Expenditure Pvt,Health Expenditure Indv,Life Expectancy,Education Expenditure,Mean years in school,Average Income,Employment Rate,Income Inequality,Child Mortality Rate,Adult Mortality Rate,Suicides,Murders
Singapore,ASIA (EX. NEAR EAST),2000,Male,5590.0,50.5,49.5,48.2,75.9,2.2,11.0,1020.0,75.4,47.0,456.0,232.0,414.0,33.0
Slovenia,EASTERN EUROPE,2000,Male,98.7,77.7,22.3,12.5,72.0,5.28,9.88,1410.0,59.6,21.9,361.0,257.0,638.0,39.1
Solomon Islands,OCEANIA,2000,Male,14.7,92.8,7.19,4.01,62.3,4.29,7.25,363.0,79.3,46.1,505.0,343.0,65.9,22.9
Somalia,SUB-SAHARAN AFRICA,2000,Male,14.4,43.5,56.5,0.0,49.3,0.991,2.84,700.0,72.4,50.9,452.0,471.0,356.0,496.0
South Africa,SUB-SAHARAN AFRICA,2000,Male,37.7,39.3,60.7,15.1,53.3,5.25,8.68,1480.0,49.1,35.2,398.0,374.0,8520.0,23200.0
South Korea,ASIA (EX. NEAR EAST),2000,Male,487.0,38.5,61.5,43.6,72.3,2.88,12.3,570.0,70.0,32.0,503.0,356.0,9490.0,1000.0
South Sudan,SUB-SAHARAN AFRICA,2000,Male,11.0,0.0,0.0,0.0,48.0,1.15,2.1,508.0,69.6,45.0,490.0,530.0,222.0,321.0
Spain,WESTERN EUROPE,2000,Male,82.0,72.2,27.8,24.3,75.8,3.85,10.6,1520.0,59.5,32.3,451.0,165.0,3680.0,427.0
Sri Lanka,ASIA (EX. NEAR EAST),2000,Male,300.0,46.8,53.2,40.0,67.5,2.44,9.36,899.0,72.5,37.2,410.0,248.0,7510.0,1640.0
Suriname,LATIN AMER. & CARIB,2000,Male,3.03,51.6,48.4,15.4,64.6,3.44,7.33,1640.0,59.7,45.6,406.0,272.0,89.4,35.9
Swaziland,SUB-SAHARAN AFRICA,2000,Male,61.7,57.1,42.9,0.0,46.5,0.0,7.22,490.0,55.1,60.5,414.0,0.0,136.0,205.0
