Country,Region,Year,Gender,Population Density,Health Expenditure Govt,Health Expenditure Pvt,Health Expenditure Indv,Life Expectancy,Education Expenditure,Mean years in school,Average Income,Employment Rate,Income Inequality,Child Mortality Rate,Adult Mortality Rate,Suicides,Murders
Madagascar,SUB-SAHARAN AFRICA,2008,Male,34.4,64.1,35.9,38.9,61.1,2.64,5.1,574.0,87.6,38.8,437.0,386.0,1070.0,417.0
Malawi,SUB-SAHARAN AFRICA,2008,Male,151.0,72.1,27.9,10.4,52.2,3.94,6.05,351.0,76.7,44.8,440.0,391.0,850.0,428.0
Malaysia,ASIA (EX. NEAR EAST),2008,Male,82.5,61.7,38.3,35.7,71.7,4.06,11.2,999.0,73.9,20.0,436.0,226.0,1870.0,629.0
Maldives,ASIA (EX. NEAR EAST),2008,Male,1150.0,52.2,47.8,33.1,74.6,5.93,7.67,845.0,74.4,41.3,446.0,316.0,10.5,3.17
Mali,SUB-SAHARAN AFRICA,2008,Male,11.6,44.1,55.9,66.7,53.6,3.35,3.19,604.0,69.2,49.2,494.0,456.0,411.0,333.0
Malta,WESTERN EUROPE,2008,Male,1290.0,70.0,30.0,33.0,77.8,5.52,9.72,783.0,62.5,28.0,445.0,134.0,24.1,5.57
Marshall Islands,OCEANIA,2008,Male,290.0,83.2,16.8,10.2,0.0,6.51,8.37,545.0,0.0,40.0,134.0,302.0,10.3,3.88
Mauritania,SUB-SAHARAN AFRICA,2008,Male,3.31,63.5,36.5,62.5,59.9,2.75,5.55,529.0,63.9,40.3,417.0,324.0,99.1,68.3
Mauritius,SUB-SAHARAN AFRICA,2008,Male,610.0,54.2,45.8,61.8,69.6,3.12,9.81,942.0,71.6,38.6,428.0,314.0,119.0,38.7
Mexico,LATIN AMER. & CARIB,2008,Male,58.5,44.2,55.8,45.6,73.4,4.78,9.83,1380.0,78.0,36.1,487.0,276.0,5940.0,17100.0
"Micronesia, Fed. Sts.",OCEANIA,2008,Male,149.0,94.9,5.1,4.13,67.5,23.6,12.7,523.0,0.0,42.4,400.0,224.0,18.0,6.43
Moldova,C.W. OF IND. STATES,2008,Male,125.0,47.6,52.4,48.4,64.7,6.53,11.2,623.0,45.6,43.4,384.0,313.0,821.0,346.0
Monaco,WESTERN EUROPE,2008,Male,24100.0,88.1,11.9,6.41,0.0,1.27,0.0,1990.0,0.0,40.0,9.7,0.0,0.0,0.0
Mongolia,ASIA (EX. NEAR EAST),2008,Male,1.69,79.3,20.7,24.6,62.6,4.29,8.84,594.0,60.6,32.0,420.0,265.0,593.0,293.0
Morocco,NORTHERN AFRICA,2008,Male,70.8,26.6,73.4,55.7,71.6,5.2,6.37,716.0,68.4,55.5,403.0,293.0,1760.0,376.0
Mozambique,SUB-SAHARAN AFRICA,2008,Male,29.1,72.8,27.2,10.6,51.6,4.35,4.1,394.0,65.2,52.1,440.0,462.0,1450.0,1670.0
Namibia,SUB-SAHARAN AFRICA,2008,Male,2.56,57.1,42.9,5.94,53.9,7.9,7.81,542.0,50.9,51.4,412.0,346.0,232.0,386.0
Nauru,OCEANIA,2008,Male,497.0,74.9,25.1,2.19,0.0,0.0,0.0,555.0,0.0,40.0,71.1,0.0,0.0,0.0
Nepal,ASIA (EX. NEAR EAST),2008,Male,185.0,26.5,73.5,61.6,65.7,3.41,7.04,655.0,86.0,25.8,407.0,440.0,2980.0,612.0
Netherlands,WESTERN EUROPE,2008,Male,491.0,61.2,30.8,10.7,78.1,4.48,12.6,3780.0,71.4,51.9,324.0,142.0,1840.0,172.0
New Zealand,OCEANIA,2008,Male,16.2,78.3,21.7,13.2,78.4,5.61,13.4,660.0,71.8,38.2,391.0,180.0,529.0,61.7
Nicaragua,LATIN AMER. & CARIB,2008,Male,46.5,56.6,43.4,44.4,69.9,3.64,7.14,976.0,77.4,39.4,509.0,296.0,412.0,597.0
Niger,SUB-SAHARAN AFRICA,2008,Male,12.0,46.4,53.6,52.8,54.7,3.36,3.05,447.0,88.2,34.9,433.0,448.0,537.0,349.0
Nigeria,SUB-SAHARAN AFRICA,2008,Male,165.0,22.4,77.6,72.5,49.2,0.85,8.36,878.0,58.6,53.5,438.0,429.0,5470.0,1050.0
North Korea,ASIA (EX. NEAR EAST),2008,Male,202.0,0.0,0.0,0.0,65.3,0.0,12.4,569.0,82.7,37.0,500.0,246.0,3050.0,730.0
Norway,WESTERN EUROPE,2008,Male,13.1,83.7,16.2,15.7,78.4,5.79,13.3,1310.0,69.7,35.1,326.0,146.0,573.0,41.4
Oman,NEAR EAST,2008,Male,8.91,82.9,17.1,12.4,73.3,4.43,9.29,918.0,75.4,40.0,414.0,293.0,70.3,13.6
Pakistan,ASIA (EX. NEAR EAST),2008,Male,212.0,23.3,76.7,73.1,63.7,2.02,6.84,1020.0,79.8,24.5,502.0,249.0,6740.0,8620.0
Palau,OCEANIA,2008,Male,44.0,83.8,16.2,17.4,0.0,0.0,0.0,841.0,0.0,40.0,41.6,0.0,0.0,0.0
Panama,LATIN AMER. & CARIB,2008,Male,47.3,66.4,33.6,28.2,73.6,2.9,10.2,849.0,79.1,40.1,406.0,186.0,224.0,535.0
Papua New Guinea,OCEANIA,2008,Male,15.0,79.0,21.0,8.7,61.9,6.9,7.42,548.0,71.4,28.4,424.0,418.0,919.0,507.0
Paraguay,LATIN AMER. & CARIB,2008,Male,15.2,33.1,66.9,52.4,69.8,3.6,8.24,837.0,82.7,40.8,374.0,204.0,331.0,827.0
Peru,LATIN AMER. & CARIB,2008,Male,22.4,58.7,41.3,44.1,70.6,2.57,10.5,1210.0,82.8,53.0,372.0,251.0,937.0,1010.0
Philippines,ASIA (EX. NEAR EAST),2008,Male,304.0,40.2,59.8,57.4,64.9,1.88,9.56,964.0,73.8,28.5,432.0,292.0,4650.0,13200.0
Poland,EASTERN EUROPE,2008,Male,125.0,69.9,30.1,24.4,71.5,4.84,12.1,1290.0,59.0,29.5,369.0,240.0,7660.0,927.0
Portugal,WESTERN EUROPE,2008,Male,116.0,68.0,32.0,25.8,76.1,4.76,9.36,1690.0,64.4,58.0,373.0,198.0,1410.0,182.0
Qatar,NEAR EAST,2008,Male,120.0,82.1,17.9,18.8,76.0,1.8,7.92,1170.0,93.4,40.0,433.0,116.0,89.0,17.1
Romania,EASTERN EUROPE,2008,Male,90.5,84.8,15.2,18.2,69.8,3.59,11.5,817.0,58.2,40.5,372.0,204.0,2730.0,593.0
Russia,C.W. OF IND. STATES,2008,Male,8.74,58.8,41.2,31.5,61.4,3.55,12.1,1460.0,65.9,52.7,419.0,350.0,60800.0,32500.0
Rwanda,SUB-SAHARAN AFRICA,2008,Male,394.0,52.7,47.3,15.1,59.0,3.38,5.07,440.0,85.5,42.5,420.0,412.0,619.0,422.0
Samoa,OCEANIA,2008,Male,64.9,79.6,20.4,14.2,69.4,4.24,12.0,1400.0,38.8,42.1,416.0,387.0,20.8,7.71
San Marino,WESTERN EUROPE,2008,Male,506.0,85.8,14.3,19.5,0.0,3.55,0.0,1450.0,0.0,40.0,15.3,0.0,0.0,0.0
Sao Tome and Principe,SUB-SAHARAN AFRICA,2008,Male,174.0,51.1,48.9,25.3,63.6,4.99,6.55,877.0,66.5,32.1,416.0,274.0,2.85,8.2
Saudi Arabia,NEAR EAST,2008,Male,12.1,72.0,28.0,19.4,72.0,7.19,10.9,856.0,71.0,40.0,416.0,252.0,795.0,105.0
Senegal,SUB-SAHARAN AFRICA,2008,Male,63.4,38.7,61.3,42.7,61.2,4.8,4.53,498.0,64.1,53.8,512.0,382.0,802.0,163.0
Serbia,EASTERN EUROPE,2008,Male,104.0,70.9,29.1,35.1,70.7,4.65,10.3,1360.0,55.0,33.7,374.0,196.0,1830.0,283.0
Seychelles,SUB-SAHARAN AFRICA,2008,Male,197.0,89.9,10.1,6.39,68.1,3.9,9.95,847.0,0.0,41.3,381.0,254.0,8.04,6.83
Sierra Leone,SUB-SAHARAN AFRICA,2008,Male,85.4,29.1,70.9,75.5,45.6,2.19,5.12,736.0,60.2,41.2,514.0,449.0,267.0,85.4
Singapore,ASIA (EX. NEAR EAST),2008,Male,6930.0,35.7,64.3,46.5,78.8,2.59,12.2,1020.0,74.2,47.0,456.0,192.0,399.0,22.0
Slovenia,EASTERN EUROPE,2008,Male,101.0,71.9,28.1,12.6,75.3,4.76,11.0,1410.0,63.0,21.9,361.0,257.0,501.0,28.1
Solomon Islands,OCEANIA,2008,Male,18.0,92.0,8.03,4.23,66.4,7.6,8.39,364.0,79.6,46.1,505.0,301.0,81.2,30.9
Somalia,SUB-SAHARAN AFRICA,2008,Male,18.1,44.6,55.4,0.0,51.8,0.991,3.43,705.0,71.0,50.9,452.0,438.0,420.0,677.0
South Africa,SUB-SAHARAN AFRICA,2008,Male,41.6,39.5,60.5,10.1,51.2,4.87,9.81,1480.0,51.5,35.2,398.0,401.0,8020.0,21600.0
South Korea,ASIA (EX. NEAR EAST),2008,Male,506.0,52.4,47.6,37.8,76.2,4.0,13.2,566.0,70.2,32.0,503.0,319.0,14900.0,968.0
South Sudan,SUB-SAHARAN AFRICA,2008,Male,15.2,0.0,0.0,0.0,51.6,1.15,2.55,509.0,68.0,45.0,490.0,496.0,307.0,521.0
Spain,WESTERN EUROPE,2008,Male,92.2,70.3,29.8,21.0,78.2,4.1,11.6,1520.0,61.5,32.3,451.0,153.0,3850.0,413.0
Sri Lanka,ASIA (EX. NEAR EAST),2008,Male,318.0,43.3,56.8,50.6,70.7,1.82,10.4,900.0,73.7,37.2,410.0,226.0,5220.0,1110.0
Suriname,LATIN AMER. & CARIB,2008,Male,3.3,50.7,49.3,21.5,66.6,3.44,8.41,1640.0,61.9,45.6,406.0,253.0,123.0,47.0
Swaziland,SUB-SAHARAN AFRICA,2008,Male,67.4,65.0,35.0,0.0,46.8,0.0,8.23,491.0,48.2,60.5,414.0,0.0,175.0,225.0
Sweden,WESTERN EUROPE,2008,Male,22.5,82.0,18.0,16.9,79.1,5.85,13.4,1450.0,63.9,39.5,270.0,146.0,1400.0,111.0
Switzerland,WESTERN EUROPE,2008,Male,193.0,58.4,41.6,29.1,79.4,4.82,10.6,2710.0,73.3,38.6,345.0,150.0,1400.0,68.9
Syria,NEAR EAST,2008,Male,111.0,48.3,51.8,53.0,70.7,2.6,8.87,1080.0,67.9,46.5,429.0,219.0,381.0,445.0
Tajikistan,C.W. OF IND. STATES,2008,Male,52.2,20.4,79.6,68.6,66.2,3.43,11.0,560.0,63.0,36.4,367.0,182.0,346.0,197.0
Tanzania,SUB-SAHARAN AFRICA,2008,Male,48.8,49.5,50.5,32.9,57.7,3.89,6.8,563.0,82.4,27.9,415.0,382.0,2310.0,3440.0
Thailand,ASIA (EX. NEAR EAST),2008,Male,130.0,63.8,36.2,14.7,69.9,3.64,9.9,933.0,80.4,46.1,438.0,290.0,8520.0,5160.0
Togo,SUB-SAHARAN AFRICA,2008,Male,113.0,24.4,75.5,61.9,55.5,3.76,6.78,684.0,78.9,43.6,427.0,346.0,510.0,207.0
Tonga,OCEANIA,2008,Male,143.0,83.2,16.9,9.83,69.1,2.93,10.1,664.0,74.9,37.7,387.0,226.0,6.8,2.89
Trinidad and Tobago,LATIN AMER. & CARIB,2008,Male,256.0,48.9,51.1,46.7,66.0,2.87,12.2,1230.0,73.2,45.5,406.0,252.0,178.0,333.0
Tunisia,NORTHERN AFRICA,2008,Male,67.0,52.7,47.3,42.8,72.4,5.99,10.4,717.0,61.5,74.2,460.0,258.0,406.0,109.0
Turkey,NEAR EAST,2008,Male,91.5,71.9,28.1,19.2,70.1,3.06,9.56,1220.0,62.3,54.5,380.0,266.0,2170.0,1580.0
Turkmenistan,C.W. OF IND. STATES,2008,Male,10.5,71.4,28.6,78.5,62.4,2.32,12.1,962.0,72.9,35.0,493.0,304.0,521.0,267.0
Tuvalu,OCEANIA,2008,Male,345.0,99.9,0.1,1.19,0.0,0.0,0.0,720.0,0.0,39.1,83.4,0.0,0.0,0.0
Uganda,SUB-SAHARAN AFRICA,2008,Male,158.0,29.2,70.8,39.3,53.9,3.0,6.87,465.0,73.8,43.6,511.0,387.0,3020.0,2020.0
Ukraine,C.W. OF IND. STATES,2008,Male,79.7,58.3,41.7,37.8,62.8,5.95,12.1,779.0,58.1,40.0,361.0,285.0,14700.0,5460.0
United Arab Emirates,NEAR EAST,2008,Male,82.5,63.2,36.8,25.1,75.3,0.0,10.9,1060.0,89.2,40.0,434.0,200.0,312.0,94.9
United Kingdom,WESTERN EUROPE,2008,Male,257.0,80.0,20.0,9.45,77.7,4.81,13.1,3350.0,65.3,58.8,314.0,168.0,5590.0,462.0
United States,NORTHERN AMERICA,2008,Male,33.2,43.6,56.4,13.1,75.7,4.71,12.6,2250.0,67.4,52.0,329.0,199.0,41000.0,18100.0
Uruguay,LATIN AMER. & CARIB,2008,Male,19.1,68.0,32.0,23.0,72.6,3.39,9.6,1760.0,72.3,54.7,406.0,209.0,611.0,158.0
Uzbekistan,C.W. OF IND. STATES,2008,Male,65.2,45.4,54.6,49.2,66.3,9.37,11.2,504.0,68.8,33.9,381.0,252.0,3050.0,981.0
Vanuatu,OCEANIA,2008,Male,18.5,75.1,24.9,8.97,68.3,5.65,8.33,587.0,75.0,37.6,385.0,321.0,35.2,3.15
Venezuela,LATIN AMER. & CARIB,2008,Male,31.9,38.1,61.9,42.6,69.4,5.01,9.53,683.0,74.5,62.8,415.0,239.0,2640.0,11400.0
Vietnam,ASIA (EX. NEAR EAST),2008,Male,280.0,32.1,67.9,37.2,69.8,4.04,8.92,863.0,79.3,34.2,417.0,246.0,7340.0,1840.0
Yemen,NEAR EAST,2008,Male,42.3,45.8,54.2,68.6,61.6,3.6,7.07,920.0,61.5,50.1,540.0,382.0,1030.0,706.0
Zambia,SUB-SAHARAN AFRICA,2008,Male,17.6,61.6,38.4,35.1,51.9,1.06,7.39,691.0,77.4,54.5,410.0,379.0,1120.0,1280.0
Zimbabwe,SUB-SAHARAN AFRICA,2008,Male,35.0,38.4,61.6,36.5,48.2,2.74,9.59,887.0,84.5,27.5,396.0,299.0,1980.0,1360.0
Afghanistan,ASIA (EX. NEAR EAST),2008,Female,41.8,6.83,93.2,75.4,61.5,2.74,1.71,604.0,0.0,30.5,471.0,0.0,1710.0,4960.0
Albania,EASTERN EUROPE,2008,Female,109.0,35.9,64.1,50.5,78.7,3.07,10.5,669.0,0.0,38.9,375.0,0.0,205.0,77.5
Algeria,NORTHERN AFRICA,2008,Female,14.6,78.7,21.3,26.1,75.3,4.47,9.11,732.0,0.0,56.2,460.0,0.0,1250.0,441.0
Andorra,WESTERN EUROPE,2008,Female,178.0,68.6,31.4,48.4,0.0,2.86,15.3,1240.0,0.0,40.0,12.9,0.0,7.53,0.52
Angola,SUB-SAHARAN AFRICA,2008,Female,17.5,81.1,18.9,21.7,58.8,3.06,5.03,665.0,0.0,57.2,486.0,0.0,1060.0,933.0
Antigua and Barbuda,LATIN AMER. & CARIB,2008,Female,210.0,64.2,35.8,27.4,77.5,2.43,14.1,759.0,0.0,40.0,409.0,0.0,1.98,4.96
Argentina,LATIN AMER. & CARIB,2008,Female,14.8,52.3,47.7,25.7,79.1,4.25,11.8,1510.0,0.0,47.6,402.0,0.0,4610.0,2280.0
Armenia,C.W. OF IND. STATES,2008,Female,102.0,27.3,72.8,59.2,76.0,2.75,11.2,515.0,0.0,31.5,363.0,0.0,219.0,135.0
Australia,OCEANIA,2008,Female,2.78,66.1,33.9,19.0,83.8,4.6,14.2,847.0,0.0,38.7,391.0,0.0,2560.0,307.0
Austria,WESTERN EUROPE,2008,Female,101.0,75.5,24.5,18.2,82.9,5.07,11.3,1980.0,0.0,33.3,294.0,0.0,1470.0,74.3
Azerbaijan,C.W. OF IND. STATES,2008,Female,107.0,12.7,87.3,78.5,73.4,2.65,11.6,778.0,0.0,70.5,370.0,0.0,409.0,336.0
Bahamas,LATIN AMER. & CARIB,2008,Female,34.8,46.7,53.3,29.3,77.4,3.84,12.7,1450.0,0.0,40.0,403.0,0.0,10.7,74.9
Bahrain,NEAR EAST,2008,Female,1470.0,66.9,33.1,27.2,76.8,2.56,10.1,1330.0,0.0,40.0,440.0,0.0,87.9,22.4
Bangladesh,ASIA (EX. NEAR EAST),2008,Female,1140.0,37.6,62.4,67.2,70.4,1.71,5.94,875.0,0.0,28.0,508.0,0.0,12000.0,4350.0
Barbados,LATIN AMER. & CARIB,2008,Female,645.0,65.6,34.4,35.5,76.9,5.02,11.5,916.0,0.0,40.0,500.0,0.0,14.7,29.9
Belarus,C.W. OF IND. STATES,2008,Female,46.9,73.8,26.2,29.8,75.5,4.63,11.9,613.0,0.0,55.6,366.0,0.0,3590.0,967.0
Belgium,WESTERN EUROPE,2008,Female,356.0,74.8,25.2,17.9,82.3,5.95,13.0,2420.0,0.0,41.6,321.0,0.0,2290.0,166.0
Belize,LATIN AMER. & CARIB,2008,Female,13.4,57.4,42.6,28.4,72.4,6.01,9.29,580.0,0.0,60.3,411.0,0.0,19.8,62.1
Benin,SUB-SAHARAN AFRICA,2008,Female,77.1,47.8,52.3,47.4,60.1,3.91,3.55,598.0,0.0,40.7,430.0,0.0,648.0,248.0
Bhutan,ASIA (EX. NEAR EAST),2008,Female,18.4,74.1,25.9,15.5,67.0,3.19,3.51,631.0,0.0,40.9,456.0,0.0,44.7,10.1
Bolivia,LATIN AMER. & CARIB,2008,Female,8.86,60.1,39.9,29.2,67.6,6.36,9.48,856.0,0.0,39.2,405.0,0.0,616.0,606.0
Bosnia and Herzegovina,EASTERN EUROPE,2008,Female,73.8,69.2,30.8,43.9,78.2,0.0,9.93,670.0,0.0,30.0,379.0,0.0,308.0,125.0
Botswana,SUB-SAHARAN AFRICA,2008,Female,3.43,68.5,31.5,4.35,59.1,8.34,9.28,398.0,0.0,47.0,397.0,0.0,319.0,293.0
Brazil,LATIN AMER. & CARIB,2008,Female,23.1,44.4,55.6,30.5,76.9,5.16,8.46,1110.0,0.0,37.9,417.0,0.0,12300.0,56000.0
Brunei,ASIA (EX. NEAR EAST),2008,Female,72.0,83.7,16.3,10.1,78.4,2.35,14.7,1520.0,0.0,40.0,455.0,0.0,16.7,4.88
Bulgaria,EASTERN EUROPE,2008,Female,69.2,62.1,37.9,42.6,76.9,4.0,10.8,1090.0,0.0,38.9,361.0,0.0,1200.0,237.0
Burkina Faso,SUB-SAHARAN AFRICA,2008,Female,53.7,46.4,53.6,31.0,56.2,3.06,2.2,481.0,0.0,38.1,455.0,0.0,841.0,132.0
Burundi,SUB-SAHARAN AFRICA,2008,Female,320.0,26.1,73.8,36.0,55.7,4.65,4.08,425.0,0.0,35.1,424.0,0.0,701.0,86.3
Cambodia,ASIA (EX. NEAR EAST),2008,Female,78.6,28.1,71.9,51.1,67.6,1.69,5.91,906.0,0.0,42.0,380.0,0.0,791.0,571.0
Cameroon,SUB-SAHARAN AFRICA,2008,Female,40.0,26.8,73.2,78.8,55.6,2.59,6.95,628.0,0.0,41.8,460.0,0.0,1730.0,687.0
Canada,NORTHERN AMERICA,2008,Female,3.67,70.2,29.8,15.4,83.1,4.38,13.7,1460.0,0.0,44.8,333.0,0.0,4300.0,551.0
Cape Verde,SUB-SAHARAN AFRICA,2008,Female,122.0,73.9,26.1,24.5,73.5,5.07,7.35,531.0,0.0,52.5,395.0,0.0,72.4,68.9
Central African Republic,SUB-SAHARAN AFRICA,2008,Female,6.98,39.8,60.2,42.6,47.6,1.27,4.12,425.0,0.0,57.6,444.0,0.0,382.0,274.0
Chad,SUB-SAHARAN AFRICA,2008,Female,8.84,46.8,53.2,68.8,50.0,1.44,2.15,419.0,0.0,28.2,432.0,0.0,540.0,316.0
Chile,LATIN AMER. & CARIB,2008,Female,22.4,38.8,61.2,37.4,80.9,4.0,12.4,1030.0,0.0,48.5,417.0,0.0,2080.0,771.0
China,ASIA (EX. NEAR EAST),2008,Female,143.0,36.2,63.8,47.4,76.4,1.79,10.1,985.0,0.0,37.1,417.0,0.0,161000.0,26200.0
Colombia,LATIN AMER. & CARIB,2008,Female,40.5,70.0,29.9,23.5,76.7,3.54,9.99,965.0,0.0,59.1,417.0,0.0,2840.0,18100.0
Comoros,SUB-SAHARAN AFRICA,2008,Female,353.0,58.2,41.8,80.9,62.7,4.01,6.05,708.0,0.0,34.1,416.0,0.0,30.3,45.5
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,2008,Female,26.6,21.2,78.8,49.8,57.2,1.42,5.56,520.0,0.0,40.4,423.0,0.0,3380.0,2340.0
"Congo, Rep.",SUB-SAHARAN AFRICA,2008,Female,12.1,49.9,50.1,37.9,59.6,2.52,7.58,603.0,0.0,56.4,409.0,0.0,249.0,182.0
Costa Rica,LATIN AMER. & CARIB,2008,Female,86.8,74.1,25.9,29.5,80.9,5.0,9.98,777.0,0.0,42.1,441.0,0.0,311.0,333.0
Cote d'Ivoire,SUB-SAHARAN AFRICA,2008,Female,61.3,25.8,74.2,61.3,50.3,4.24,3.97,869.0,0.0,40.3,428.0,0.0,1600.0,397.0
Croatia,EASTERN EUROPE,2008,Female,77.8,82.6,17.4,14.5,79.6,4.22,9.97,1300.0,0.0,16.3,367.0,0.0,895.0,80.1
Cuba,LATIN AMER. & CARIB,2008,Female,106.0,89.5,10.6,8.84,80.8,14.0,12.3,1050.0,0.0,40.0,385.0,0.0,1630.0,610.0
Cyprus,NEAR EAST,2008,Female,117.0,45.1,54.9,51.4,81.2,6.04,13.3,856.0,0.0,30.1,339.0,0.0,45.6,17.8
Czech Republic,EASTERN EUROPE,2008,Female,135.0,89.8,10.2,16.1,80.2,3.59,12.0,1920.0,0.0,22.9,380.0,0.0,1690.0,169.0
Denmark,WESTERN EUROPE,2008,Female,130.0,84.5,15.4,14.1,80.9,7.06,12.5,2080.0,0.0,37.2,360.0,0.0,789.0,60.3
Djibouti,SUB-SAHARAN AFRICA,2008,Female,35.5,67.0,33.0,31.6,60.8,7.43,5.03,794.0,0.0,36.5,445.0,0.0,32.5,63.4
Dominica,LATIN AMER. & CARIB,2008,Female,94.8,66.1,33.9,43.6,0.0,5.0,12.7,665.0,0.0,40.0,139.0,0.0,2.74,5.9
Dominican Republic,LATIN AMER. & CARIB,2008,Female,199.0,33.1,66.9,43.6,75.6,1.82,10.0,669.0,0.0,39.9,445.0,0.0,514.0,1270.0
Ecuador,LATIN AMER. & CARIB,2008,Female,58.2,22.1,77.8,52.1,77.6,3.34,9.93,530.0,0.0,41.9,406.0,0.0,1210.0,2570.0
Egypt,NORTHERN AFRICA,2008,Female,81.3,40.4,59.6,61.8,72.3,4.41,8.79,792.0,0.0,34.0,405.0,0.0,2630.0,560.0
El Salvador,LATIN AMER. & CARIB,2008,Female,295.0,47.3,52.7,35.8,75.8,3.41,8.63,977.0,0.0,41.2,462.0,0.0,568.0,3610.0
Equatorial Guinea,SUB-SAHARAN AFRICA,2008,Female,31.0,66.2,33.8,56.3,56.5,1.0,6.73,364.0,0.0,40.0,447.0,0.0,39.6,26.8
Eritrea,SUB-SAHARAN AFRICA,2008,Female,41.9,47.2,52.8,45.1,63.0,1.72,4.89,533.0,0.0,40.0,441.0,0.0,281.0,364.0
Estonia,BALTICS,2008,Female,31.6,68.2,31.8,20.7,79.3,5.36,10.4,957.0,0.0,47.8,362.0,0.0,325.0,109.0
Ethiopia,SUB-SAHARAN AFRICA,2008,Female,83.2,57.9,42.1,38.5,61.2,3.82,4.99,524.0,0.0,47.7,448.0,0.0,5670.0,8130.0
Fiji,OCEANIA,2008,Female,46.2,81.2,18.8,16.5,72.0,5.1,11.4,787.0,0.0,35.3,499.0,0.0,97.0,42.5
Finland,WESTERN EUROPE,2008,Female,17.5,74.6,25.4,19.6,83.0,5.44,12.2,1280.0,0.0,47.1,362.0,0.0,1140.0,115.0
France,WESTERN EUROPE,2008,Female,114.0,78.9,21.1,9.89,84.3,4.88,12.3,1860.0,0.0,73.2,294.0,0.0,12900.0,673.0
Gabon,SUB-SAHARAN AFRICA,2008,Female,5.96,43.8,56.2,52.0,62.2,3.06,9.04,391.0,0.0,46.3,436.0,0.0,116.0,75.6
Gambia,SUB-SAHARAN AFRICA,2008,Female,157.0,50.3,49.7,20.9,60.3,2.09,4.38,821.0,0.0,39.6,460.0,0.0,52.3,20.9
Georgia,C.W. OF IND. STATES,2008,Female,62.5,14.8,85.2,66.5,76.6,2.2,12.4,544.0,0.0,26.9,382.0,0.0,287.0,177.0
Germany,WESTERN EUROPE,2008,Female,233.0,78.4,21.6,14.0,82.4,4.25,12.4,1850.0,0.0,50.8,340.0,0.0,12000.0,759.0
Ghana,SUB-SAHARAN AFRICA,2008,Female,102.0,51.3,48.7,40.9,61.0,5.01,7.11,705.0,0.0,47.0,471.0,0.0,1150.0,944.0
Greece,WESTERN EUROPE,2008,Female,88.6,59.8,40.2,39.4,82.9,3.1,12.7,1410.0,0.0,51.6,361.0,0.0,464.0,128.0
Grenada,LATIN AMER. & CARIB,2008,Female,306.0,49.1,50.9,53.4,74.5,3.75,11.5,961.0,0.0,40.0,414.0,0.0,7.05,7.07
Guatemala,LATIN AMER. & CARIB,2008,Female,131.0,36.9,63.1,59.4,73.9,2.89,6.52,859.0,0.0,37.4,503.0,0.0,1170.0,5790.0
Guinea,SUB-SAHARAN AFRICA,2008,Female,42.0,24.2,75.8,64.8,56.3,1.12,2.69,451.0,0.0,34.4,448.0,0.0,519.0,296.0
Guinea-Bissau,SUB-SAHARAN AFRICA,2008,Female,52.7,23.1,76.9,41.5,55.7,1.55,2.69,779.0,0.0,49.5,417.0,0.0,111.0,105.0
Guyana,LATIN AMER. & CARIB,2008,Female,3.79,79.4,20.6,40.6,68.4,3.31,10.4,1220.0,0.0,39.5,429.0,0.0,220.0,146.0
Haiti,LATIN AMER. & CARIB,2008,Female,352.0,20.6,79.4,38.6,62.5,1.46,6.67,635.0,0.0,47.5,486.0,0.0,830.0,662.0
Honduras,LATIN AMER. & CARIB,2008,Female,70.4,74.0,26.0,51.8,74.6,5.4,8.1,676.0,0.0,58.5,393.0,0.0,250.0,2330.0
Hungary,EASTERN EUROPE,2008,Female,110.0,72.8,27.2,26.3,77.9,5.06,12.2,1250.0,0.0,36.1,368.0,0.0,2680.0,241.0
Iceland,WESTERN EUROPE,2008,Female,3.1,82.0,18.0,16.0,83.3,8.36,10.9,929.0,0.0,25.8,412.0,0.0,38.5,2.5
India,ASIA (EX. NEAR EAST),2008,Female,403.0,22.8,77.2,69.1,66.8,3.08,6.24,1050.0,0.0,32.1,509.0,0.0,216000.0,48400.0
Indonesia,ASIA (EX. NEAR EAST),2008,Female,130.0,40.1,59.9,48.1,69.9,2.71,9.22,997.0,0.0,40.7,444.0,0.0,8400.0,4630.0
Iran,ASIA (EX. NEAR EAST),2008,Female,44.7,45.8,54.2,55.5,74.8,3.86,10.7,979.0,0.0,59.3,506.0,0.0,5080.0,1960.0
Iraq,NEAR EAST,2008,Female,67.0,45.4,54.6,21.5,71.1,4.6,6.63,972.0,0.0,41.9,428.0,0.0,2210.0,2460.0
Ireland,WESTERN EUROPE,2008,Female,65.2,76.5,23.5,11.9,82.1,5.7,13.6,1450.0,0.0,38.6,348.0,0.0,536.0,42.1
Israel,NEAR EAST,2008,Female,328.0,62.9,37.1,25.3,82.9,5.39,14.3,882.0,0.0,34.7,448.0,0.0,582.0,182.0
Italy,WESTERN EUROPE,2008,Female,202.0,74.5,25.5,21.3,84.1,4.21,13.0,2320.0,0.0,56.1,455.0,0.0,4620.0,581.0
Jamaica,LATIN AMER. & CARIB,2008,Female,258.0,50.5,49.5,28.0,76.9,6.09,12.3,1170.0,0.0,41.3,390.0,0.0,67.4,647.0
Japan,ASIA (EX. NEAR EAST),2008,Female,353.0,80.4,19.6,15.2,86.0,2.93,14.6,1070.0,0.0,46.8,363.0,0.0,32300.0,943.0
